method,dataset,step_setting,metric,time_type,result,prc_threshold
Cooccurrence,SuoDataset,all_paths,threshold,Real Time,0.16084712468744813,False
Cooccurrence,SuoDataset,all_paths,F1,Real Time,0.5494505494505495,False
Cooccurrence,SuoDataset,all_paths,AUC_PRC,Real Time,,False
Cooccurrence,SuoDataset,all_paths,PRECISION,Real Time,0.8620689655172413,False
Cooccurrence,SuoDataset,all_paths,RECALL,Real Time,0.4032258064516129,False
Cooccurrence,SuoDataset,simple,threshold,Real Time,0.1639422620602786,False
Cooccurrence,SuoDataset,simple,F1,Real Time,0.36363636363636365,False
Cooccurrence,SuoDataset,simple,AUC_PRC,Real Time,,False
Cooccurrence,SuoDataset,simple,PRECISION,Real Time,0.3333333333333333,False
Cooccurrence,SuoDataset,simple,RECALL,Real Time,0.4,False
Cooccurrence,GarciaAlonsoDataset,all_paths,threshold,Real Time,0.09899636675516288,False
Cooccurrence,GarciaAlonsoDataset,all_paths,F1,Real Time,0.6938775510204082,False
Cooccurrence,GarciaAlonsoDataset,all_paths,AUC_PRC,Real Time,,False
Cooccurrence,GarciaAlonsoDataset,all_paths,PRECISION,Real Time,0.5483870967741935,False
Cooccurrence,GarciaAlonsoDataset,all_paths,RECALL,Real Time,0.9444444444444444,False
Cooccurrence,GarciaAlonsoDataset,simple,threshold,Real Time,0.33401474607911374,False
Cooccurrence,GarciaAlonsoDataset,simple,F1,Real Time,0.25,False
Cooccurrence,GarciaAlonsoDataset,simple,AUC_PRC,Real Time,,False
Cooccurrence,GarciaAlonsoDataset,simple,PRECISION,Real Time,0.3333333333333333,False
Cooccurrence,GarciaAlonsoDataset,simple,RECALL,Real Time,0.2,False
Cooccurrence,MaDataset,all_paths,threshold,Real Time,0.2913894527326705,False
Cooccurrence,MaDataset,all_paths,F1,Real Time,0.6666666666666666,False
Cooccurrence,MaDataset,all_paths,AUC_PRC,Real Time,,False
Cooccurrence,MaDataset,all_paths,PRECISION,Real Time,0.8333333333333334,False
Cooccurrence,MaDataset,all_paths,RECALL,Real Time,0.5555555555555556,False
Cooccurrence,MaDataset,simple,threshold,Real Time,0.08167714157250863,False
Cooccurrence,MaDataset,simple,F1,Real Time,0.5454545454545454,False
Cooccurrence,MaDataset,simple,AUC_PRC,Real Time,,False
Cooccurrence,MaDataset,simple,PRECISION,Real Time,0.375,False
Cooccurrence,MaDataset,simple,RECALL,Real Time,1.0,False
Cooccurrence,GarciaAlonsoDataset,all_paths,threshold,Pseudotime,0.12612042517453928,False
Cooccurrence,GarciaAlonsoDataset,all_paths,F1,Pseudotime,0.8,False
Cooccurrence,GarciaAlonsoDataset,all_paths,AUC_PRC,Pseudotime,,False
Cooccurrence,GarciaAlonsoDataset,all_paths,PRECISION,Pseudotime,0.6666666666666666,False
Cooccurrence,GarciaAlonsoDataset,all_paths,RECALL,Pseudotime,1.0,False
Cooccurrence,GarciaAlonsoDataset,simple,threshold,Pseudotime,0.12612042517453928,False
Cooccurrence,GarciaAlonsoDataset,simple,F1,Pseudotime,0.5882352941176471,False
Cooccurrence,GarciaAlonsoDataset,simple,AUC_PRC,Pseudotime,,False
Cooccurrence,GarciaAlonsoDataset,simple,PRECISION,Pseudotime,0.4166666666666667,False
Cooccurrence,GarciaAlonsoDataset,simple,RECALL,Pseudotime,1.0,False
Cooccurrence,SuoDataset,all_paths,threshold,Pseudotime,0.18601355671477698,False
