method,dataset,step_setting,metric,time_type,result
WOT,GarciaAlonsoDataset,all_paths,threshold,Real Time,0.06251576
WOT,GarciaAlonsoDataset,all_paths,F1,Real Time,0.6666666666666666
WOT,GarciaAlonsoDataset,all_paths,AUC_PRC,Real Time,0.43975158454522945
WOT,GarciaAlonsoDataset,all_paths,PRECISION,Real Time,0.5
WOT,GarciaAlonsoDataset,all_paths,RECALL,Real Time,1.0
WOT,GarciaAlonsoDataset,simple,threshold,Real Time,0.022727273
WOT,GarciaAlonsoDataset,simple,F1,Real Time,0.37037037037037035
WOT,GarciaAlonsoDataset,simple,AUC_PRC,Real Time,0.3698989898989899
WOT,GarciaAlonsoDataset,simple,PRECISION,Real Time,0.22727272727272727
WOT,GarciaAlonsoDataset,simple,RECALL,Real Time,1.0
WOT,GarciaAlonsoDataset,all_paths,threshold,Pseudotime,0.07437186
WOT,GarciaAlonsoDataset,all_paths,F1,Pseudotime,0.8372093023255814
WOT,GarciaAlonsoDataset,all_paths,AUC_PRC,Pseudotime,0.5486217888391801
WOT,GarciaAlonsoDataset,all_paths,PRECISION,Pseudotime,0.72
WOT,GarciaAlonsoDataset,all_paths,RECALL,Pseudotime,1.0
WOT,GarciaAlonsoDataset,simple,threshold,Pseudotime,0.033357862
WOT,GarciaAlonsoDataset,simple,F1,Pseudotime,0.5555555555555556
WOT,GarciaAlonsoDataset,simple,AUC_PRC,Pseudotime,0.5759706959706961
WOT,GarciaAlonsoDataset,simple,PRECISION,Pseudotime,0.38461538461538464
WOT,GarciaAlonsoDataset,simple,RECALL,Pseudotime,1.0
WOT,MaDataset,all_paths,threshold,Real Time,0.086834736
WOT,MaDataset,all_paths,F1,Real Time,0.875
WOT,MaDataset,all_paths,AUC_PRC,Real Time,0.7268518518518519
WOT,MaDataset,all_paths,PRECISION,Real Time,1.0
WOT,MaDataset,all_paths,RECALL,Real Time,0.7777777777777778
WOT,MaDataset,simple,threshold,Real Time,0.007021063
WOT,MaDataset,simple,F1,Real Time,0.6666666666666666
WOT,MaDataset,simple,AUC_PRC,Real Time,0.8333333333333333
WOT,MaDataset,simple,PRECISION,Real Time,0.5
WOT,MaDataset,simple,RECALL,Real Time,1.0
WOT,MaDataset,all_paths,threshold,Pseudotime,0.09471366
WOT,MaDataset,all_paths,F1,Pseudotime,0.9473684210526315
WOT,MaDataset,all_paths,AUC_PRC,Pseudotime,0.5987654320987654
WOT,MaDataset,all_paths,PRECISION,Pseudotime,0.9
WOT,MaDataset,all_paths,RECALL,Pseudotime,1.0
WOT,MaDataset,simple,threshold,Pseudotime,0.09471366
WOT,MaDataset,simple,F1,Pseudotime,0.8571428571428571
WOT,MaDataset,simple,AUC_PRC,Pseudotime,0.6388888888888888
WOT,MaDataset,simple,PRECISION,Pseudotime,0.75
WOT,MaDataset,simple,RECALL,Pseudotime,1.0
WOT,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Real Time,0.5
WOT,GarciaAlonsoDataset,simple,JaccardSimilarity,Real Time,0.22727272727272727
WOT,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Pseudotime,0.72
WOT,GarciaAlonsoDataset,simple,JaccardSimilarity,Pseudotime,0.38461538461538464
WOT,MaDataset,all_paths,JaccardSimilarity,Real Time,0.7777777777777778
WOT,MaDataset,simple,JaccardSimilarity,Real Time,0.5
WOT,MaDataset,all_paths,JaccardSimilarity,Pseudotime,0.9
WOT,MaDataset,simple,JaccardSimilarity,Pseudotime,0.75
scNODE,SuoDataset,all_paths,threshold,Real Time,0.0
scNODE,SuoDataset,all_paths,F1,Real Time,0.6775956284153005
scNODE,SuoDataset,all_paths,AUC_PRC,Real Time,0.5399566042554607
scNODE,SuoDataset,all_paths,PRECISION,Real Time,0.512396694214876
scNODE,SuoDataset,all_paths,RECALL,Real Time,1.0
scNODE,SuoDataset,simple,threshold,Real Time,0.0
scNODE,SuoDataset,simple,F1,Real Time,0.16666666666666666
scNODE,SuoDataset,simple,AUC_PRC,Real Time,0.14862756887835255
scNODE,SuoDataset,simple,PRECISION,Real Time,0.09090909090909091
scNODE,SuoDataset,simple,RECALL,Real Time,1.0
scNODE,GarciaAlonsoDataset,all_paths,threshold,Real Time,0.0
scNODE,GarciaAlonsoDataset,all_paths,F1,Real Time,0.6666666666666666
scNODE,GarciaAlonsoDataset,all_paths,AUC_PRC,Real Time,0.4478395061728395
scNODE,GarciaAlonsoDataset,all_paths,PRECISION,Real Time,0.5
scNODE,GarciaAlonsoDataset,all_paths,RECALL,Real Time,1.0
scNODE,GarciaAlonsoDataset,simple,threshold,Real Time,0.0
scNODE,GarciaAlonsoDataset,simple,F1,Real Time,0.2857142857142857
scNODE,GarciaAlonsoDataset,simple,AUC_PRC,Real Time,0.14555555555555555
scNODE,GarciaAlonsoDataset,simple,PRECISION,Real Time,0.16666666666666666
scNODE,GarciaAlonsoDataset,simple,RECALL,Real Time,1.0
scNODE,MaDataset,all_paths,threshold,Real Time,0.0
scNODE,MaDataset,all_paths,F1,Real Time,0.72
scNODE,MaDataset,all_paths,AUC_PRC,Real Time,0.5305555555555557
scNODE,MaDataset,all_paths,PRECISION,Real Time,0.5625
scNODE,MaDataset,all_paths,RECALL,Real Time,1.0
scNODE,MaDataset,simple,threshold,Real Time,0.0
scNODE,MaDataset,simple,F1,Real Time,0.4
scNODE,MaDataset,simple,AUC_PRC,Real Time,0.3402777777777778
scNODE,MaDataset,simple,PRECISION,Real Time,0.25
scNODE,MaDataset,simple,RECALL,Real Time,1.0
scNODE,GarciaAlonsoDataset,all_paths,threshold,Pseudotime,0.0
scNODE,GarciaAlonsoDataset,all_paths,F1,Pseudotime,0.6666666666666666
scNODE,GarciaAlonsoDataset,all_paths,AUC_PRC,Pseudotime,0.4357193732193732
scNODE,GarciaAlonsoDataset,all_paths,PRECISION,Pseudotime,0.5
scNODE,GarciaAlonsoDataset,all_paths,RECALL,Pseudotime,1.0
scNODE,GarciaAlonsoDataset,simple,threshold,Pseudotime,0.0
scNODE,GarciaAlonsoDataset,simple,F1,Pseudotime,0.2857142857142857
scNODE,GarciaAlonsoDataset,simple,AUC_PRC,Pseudotime,0.18504273504273505
scNODE,GarciaAlonsoDataset,simple,PRECISION,Pseudotime,0.16666666666666666
scNODE,GarciaAlonsoDataset,simple,RECALL,Pseudotime,1.0
scNODE,SuoDataset,all_paths,threshold,Pseudotime,0.0
scNODE,SuoDataset,all_paths,F1,Pseudotime,0.6775956284153005
scNODE,SuoDataset,all_paths,AUC_PRC,Pseudotime,0.5984675333018853
scNODE,SuoDataset,all_paths,PRECISION,Pseudotime,0.512396694214876
scNODE,SuoDataset,all_paths,RECALL,Pseudotime,1.0
scNODE,SuoDataset,simple,threshold,Pseudotime,0.9596586
scNODE,SuoDataset,simple,F1,Pseudotime,0.18181818181818182
scNODE,SuoDataset,simple,AUC_PRC,Pseudotime,0.18978845708936537
scNODE,SuoDataset,simple,PRECISION,Pseudotime,1.0
scNODE,SuoDataset,simple,RECALL,Pseudotime,0.1
scNODE,MaDataset,all_paths,threshold,Pseudotime,0.0
scNODE,MaDataset,all_paths,F1,Pseudotime,0.72
scNODE,MaDataset,all_paths,AUC_PRC,Pseudotime,0.480489417989418
scNODE,MaDataset,all_paths,PRECISION,Pseudotime,0.5625
